Pickup_Datetime,Total_amount
2012-03-03 19,386229.38000000035
2012-04-21 18,374479.82
2012-05-23 10,295442.74000000057
2012-10-19 6,202132.40999999977
2012-08-21 12,262722.45999999985
2012-11-06 23,320793.26000000013
2012-09-03 20,257673.65999999992
2012-01-01 0,180961.20000000019
2012-10-28 3,368225.18999999983
2012-12-18 22,460969.75000000041
2012-09-19 5,82085.550000000076
2012-05-09 1,120319.10999999996
2012-09-25 23,275556.99999999965
2012-01-06 1,131817.7
2012-12-30 1,294239.26999999967
2012-10-10 17,397273.44999999995
2012-09-21 16,311195.46999999991
2012-08-06 16,261660.41000000015
2012-07-20 18,379657.78000000032
2012-02-15 21,407083.01999999926
2012-06-06 21,408649.14000000019
2012-10-20 22,460621.22999999969
2012-09-06 20,481614.78999999876
2012-09-08 12,349984.61000000016
2012-10-07 17,350658.56999999989
2012-11-14 12,364078.89000000031
2012-10-28 17,300487.66000000009
2012-12-22 14,360610.5999999998
2012-10-04 8,405770.38000000018
2012-12-07 13,391149.78000000026
2012-11-08 20,458651.84999999934
2012-11-29 20,487669.55999999988
2012-10-08 21,327475.01999999973
2012-09-17 21,345319.41999999981
2012-11-06 9,319424.14999999997
2012-09-12 20,480873.91999999952
2012-09-29 0,482602.93999999942
2012-09-18 13,333655.13000000012
2012-12-09 11,342227.5100000003
2012-11-07 9,348875.7099999999
2012-10-24 14,380796.22999999934
2012-12-24 14,275313.54
2012-12-11 12,332639.14999999962
2012-12-27 13,292055.42999999993
2012-09-09 23,267024.10999999981
2012-12-29 20,294152.76000000013
2012-09-20 12,368447.38999999949
2012-11-24 22,386901.55999999971
2012-10-29 14,93629.139999999927
2012-09-17 17,326838.83
2012-10-13 9,245900.83999999985
2012-12-13 1,221428.74999999997
2012-09-19 20,479734.38999999966
2012-06-07 9,343043.69000000029
2012-01-02 12,220743.09999999983
2012-07-21 11,219926.5300000002
2012-01-17 9,321658.00999999943
2012-11-07 13,327035.3299999999
2012-01-31 6,140628.30000000005
2012-01-29 17,290017.06
2012-06-15 11,295053.12000000011
2012-04-25 8,352752.62999999995
2012-08-26 19,266366.11000000004
2012-07-20 11,285562.24000000005
2012-07-29 11,218411.98000000013
2012-08-14 10,267526.87999999989
2012-07-12 7,255868.53999999978
2012-02-19 11,230062.27000000016
2012-07-18 11,311505.50000000052
2012-06-18 7,265016.38000000006
2012-01-16 8,180422.02000000043
2012-01-13 6,151780.44999999975
2012-03-03 10,237379.0000000002
2012-06-20 13,339616.37000000081
2012-05-17 14,361106.74000000005
2012-01-26 8,340450.49999999977
2012-02-18 13,282547.19999999995
2012-06-18 9,296470.59000000026
2012-01-28 12,274326.43999999994
2012-07-16 12,271282.99000000028
2012-08-26 14,278039.36999999976
2012-05-03 9,345732.31999999977
2012-06-01 8,326917.44999999955
2012-08-02 14,334693.71000000014
2012-07-04 19,235815.06000000023
2012-06-03 10,211858.98999999955
2012-01-12 15,297475.41999999934
2012-06-17 10,196469.06999999969
2012-02-14 10,279905.5799999999
2012-07-08 23,214790.07000000009
2012-07-02 21,275579.0400000005
2012-06-15 20,377160.54000000056
2012-07-13 21,385196.5799999999
2012-07-22 2,283168.58000000019
2012-05-08 5,72025.390000000029
2012-03-24 23,430667.66000000038
2012-07-07 23,327017.72999999969
2012-08-11 0,384621.03999999975
2012-02-26 1,365476.12999999954
2012-05-27 0,287573.16999999987
2012-08-14 5,66205.200000000055
2012-04-15 4,176426.77000000016
2012-07-19 23,393990.78000000014
2012-09-27 23,452141.8200000003
2012-04-01 23,213706.43999999992
2012-12-15 0,485185.20000000042
2012-09-27 3,55351.029999999992
2012-01-29 1,363657.4600000002
2012-12-29 2,255158.69000000032
2012-07-14 20,297356.9700000005
2012-01-27 2,101871.02000000009
2012-01-06 7,241634.85
2012-07-17 19,410160.55000000022
2012-06-21 19,447621.93999999971
2012-07-11 19,425171.92999999906
2012-11-09 19,488778.31999999983
2012-06-01 17,329132.4200000001
2012-05-09 18,419595.34999999986
2012-07-11 18,403688.65999999968
2012-07-10 16,262608.80999999947
2012-05-15 17,322909.1999999999
2012-04-23 15,312565.78999999957
2012-01-10 6,136785.1500000002
2012-03-21 17,338575.89999999979
2012-06-13 19,410913.7900000005
2012-11-12 17,348447.27000000008
2012-04-10 13,299487.34000000049
2012-08-22 19,372020.35
2012-02-13 19,391961.48999999982
2012-05-31 18,404668.26999999984
2012-03-28 12,306686.38000000059
2012-05-09 15,318647.02999999991
2012-03-09 2,135618.64000000007
2012-06-11 23,254527.8799999998
2012-02-19 22,268626.54000000004
2012-07-27 19,404152.31999999954
2012-11-19 19,410009.33999999944
2012-08-30 9,295079.55999999953
2012-05-27 14,243047.90000000005
2012-05-22 19,404661.89999999985
2012-05-03 16,285507.03000000032
2012-10-09 9,375898.91999999952
2012-11-17 10,284328.13000000006
2012-06-07 7,288186.64999999997
2012-09-29 13,363411.18999999989
2012-05-18 3,103659.42999999996
2012-04-10 18,404906.52000000014
2012-12-15 18,413294.18000000011
2012-11-20 20,433565.17999999959
2012-10-24 1,118501.15000000008
2012-09-27 5,92993.520000000019
2012-10-12 22,505472.61000000016
2012-11-17 2,338343.5
2012-10-26 22,461715.05999999918
2012-09-21 22,489886.40999999992
2012-11-23 18,316559.84000000008
2012-12-14 3,132408.99
2012-10-15 21,391865.04999999993
2012-11-08 4,46503.820000000051
2012-09-18 17,360244.05999999965
2012-11-02 17,227929.11999999962
2012-10-28 10,272325.33000000066
2012-09-22 13,346145.25999999989
2012-11-02 13,224022.31999999986
2012-12-26 1,69406.080000000089
2012-09-20 4,63951.870000000112
2012-03-05 12,258163.55000000013
2012-09-02 10,173055.40000000008
2012-07-11 12,291559.17999999976
2012-04-12 13,326842.46999999986
2012-01-25 7,262628.84000000032
2012-02-06 13,232202.95
2012-08-12 12,246153.19000000021
2012-02-07 12,241540.88999999998
2012-04-07 12,255479.22999999989
2012-07-22 19,268787.53000000009
2012-07-04 9,103711.92999999998
2012-02-28 6,148875.33
2012-02-04 8,127155.21999999991
2012-04-03 9,328462.98999999929
2012-07-31 7,241399.22000000026
2012-06-25 3,54330.179999999978
2012-11-13 5,91806.249999999985
2012-06-04 2,60126.349999999955
2012-02-24 23,405620.70999999973
2012-02-20 22,275316.68000000005
2012-05-11 19,432111.06000000064
2012-02-08 6,142776.07000000012
2012-06-20 6,157736.48000000007
2012-08-04 16,243506.79000000004
2012-07-25 18,396964.80000000028
2012-04-23 7,285276.39999999962
2012-03-07 17,343261.02999999968
2012-08-21 19,365368.68999999959
2012-04-20 22,428998.86000000068
2012-06-29 20,369675.51000000047
2012-02-11 2,295072.05999999994
2012-04-02 1,90904.74000000002
2012-08-01 10,280084.94000000024
2012-10-17 7,337762.75000000035
2012-08-19 11,197950.26000000004
2012-04-30 5,86713.009999999922
2012-12-07 5,107223.05000000006
2012-12-14 5,111689.81000000011
2012-08-08 14,303863.02999999985
2012-11-25 7,112243.11000000018
2012-06-09 7,113571.7100000002
2012-04-11 15,315199.57000000012
2012-01-08 15,285251.92
2012-07-22 3,209393.77000000019
2012-07-29 5,90740.2900000001
2012-04-30 2,54491.679999999935
2012-07-22 14,276602.54000000015
2012-01-25 5,65664.179999999877
2012-05-15 8,347131.48000000062
2012-06-29 10,292908.62
2012-08-14 7,237654.81000000023
2012-03-10 3,232845.98000000019
2012-09-24 2,54611.139999999963
2012-07-25 12,300293.71000000008
2012-02-25 17,310196.82000000018
2012-04-29 0,395590.22999999957
2012-07-21 2,263044.68000000011
2012-05-02 3,48318.799999999988
2012-03-21 14,308068.75000000017
2012-03-15 0,226863.13000000012
2012-07-23 23,242620.29000000012
2012-01-04 4,38178.380000000012
2012-02-28 2,49244.490000000063
2012-05-25 0,307329.60999999969
2012-06-24 7,91620.319999999963
2012-09-01 18,269932.86000000022
2012-03-17 7,104221.99999999985
2012-06-02 6,84205.04999999993
2012-06-27 16,266747.82999999973
2012-07-03 2,64910.550000000032
2012-01-22 23,238026.42000000051
2012-08-15 5,68477.709999999977
2012-01-08 2,307047.25
2012-05-02 4,48774.10000000002
2012-04-19 5,83040.730000000083
2012-03-28 2,66359.539999999892
2012-01-01 7,47275.1499999999
2012-02-07 4,32802.379999999976
2012-05-28 8,83914.489999999874
2012-04-09 2,49191.850000000079
2012-03-28 4,47429.669999999984
2012-05-13 5,87987.68999999993
2012-12-27 3,44425.820000000065
2012-10-30 1,6206.8899999999994
2012-06-15 4,84309.370000000112
2012-04-16 4,49897.559999999961
2012-11-19 8,370753.0300000002
2012-03-21 6,149655.95000000024
2012-02-01 13,274140.88999999978
2012-07-28 17,251562.13999999984
2012-03-28 9,336340.56999999995
2012-04-04 6,153583.18000000005
2012-02-05 2,321094.37000000034
2012-04-09 3,34998.569999999963
2012-07-17 21,390979.7099999999
2012-07-14 3,226610.55000000034
2012-03-20 21,370771.55999999965
2012-12-05 17,391827.99000000011
2012-07-10 17,328975.36999999936
2012-09-09 9,202085.05
2012-11-02 11,231450.40000000014
2012-12-11 8,397777.21000000049
2012-12-10 13,327029.75999999949
2012-09-19 14,395058.94000000018
2012-11-20 7,304204.64999999921
2012-09-16 15,341450.91000000021
2012-10-22 15,350531.31999999931
2012-09-26 19,439723.33999999921
2012-09-04 21,418931.86000000074
2012-10-09 16,295514.48999999987
2012-09-18 14,348326.51000000013
2012-10-08 10,256223.53999999995
2012-09-17 16,296107.08999999985
2012-10-21 9,213880.71000000028
2012-10-25 12,375423.2399999997
2012-12-02 12,360279.54999999993
2012-12-23 14,312404.43999999977
2012-09-08 22,456963.07000000047
2012-12-09 0,479707.54999999987
2012-10-17 19,479505.07999999984
2012-12-21 22,444608.37999999913
2012-02-03 14,321742.93999999971
2012-03-13 15,295673.91999999975
2012-04-24 8,350082.4599999995
2012-08-12 17,272208.38000000047
2012-09-24 6,201828.47000000006
2012-03-07 6,157065.72000000009
2012-08-01 6,154757.55000000013
2012-06-04 7,280076.95
2012-08-18 15,258148.4200000003
2012-01-15 13,311427.2899999998
2012-05-29 13,304569.78999999992
2012-05-19 9,216731.93999999974
2012-05-24 10,310860.7000000003
2012-03-16 10,313756.26000000018
2012-11-20 10,342139.13999999996
2012-04-29 14,337110.35999999993
2012-11-30 10,358704.49000000011
2012-09-03 10,164164.29999999993
2012-08-03 7,242427.36000000007
2012-11-23 15,286632.24999999971
2012-05-16 8,364653.02999999962
2012-09-07 10,373613.10000000033
2012-03-08 12,312847.3899999999
2012-07-27 7,248051.25000000006
2012-01-01 13,113295.8000000001
2012-05-02 11,329908.92999999959
2012-10-16 15,363125.20999999944
2012-02-26 18,315202.5200000006
2012-04-11 7,265280.37
2012-05-26 11,217829.9599999999
2012-07-18 12,323029.2799999998
2012-08-08 6,145134.81000000003
2012-10-24 7,330836.34999999969
2012-06-10 16,269792.65999999974
2012-07-05 8,230156.61000000016
2012-04-11 12,309367.2
2012-05-27 17,233572.15000000046
2012-05-03 7,283426.25999999978
2012-09-02 17,246784.35999999958
2012-03-20 8,321410.90000000014
2012-12-22 7,122556.05000000019
2012-01-28 1,332618.31999999966
2012-08-17 23,372218.63999999978
2012-01-28 20,368584.82999999984
2012-05-21 4,60757.239999999962
2012-03-12 1,94160.410000000149
2012-08-29 20,360235.07000000036
2012-02-02 20,417518.91000000015
2012-01-04 0,144417.06000000029
2012-11-16 0,372529.98999999964
2012-06-15 22,402798.72999999986
2012-03-16 2,123273.32999999987
2012-12-12 0,256838.47000000015
2012-04-05 21,427164.09999999974
2012-08-19 2,269948.3000000004
2012-08-20 4,50949.410000000018
2012-02-21 22,326570.53999999986
2012-05-12 3,225394.88000000021
2012-01-17 23,238159.97000000015
2012-08-29 23,314938.67999999918
2012-11-30 23,505526.62
2012-02-08 21,402775.02999999997
2012-11-19 4,56282.950000000055
2012-07-15 20,269748.56999999995
2012-02-25 2,284788.24999999919
2012-05-06 3,258017.47000000012
2012-02-09 0,188954.77999999994
2012-07-11 21,418365.99999999983
2012-12-31 22,426761.82999999978
2012-04-22 15,338865.90000000008
2012-01-26 11,272923.88999999972
2012-01-03 7,244693.39999999994
2012-09-11 16,310773.58999999985
2012-01-06 19,415317.9499999996
2012-04-08 12,259447.94999999987
2012-02-07 15,283653.10000000068
2012-06-21 17,338479.97
2012-02-10 17,352383.91000000015
2012-07-24 19,392994.69999999984
2012-06-18 19,366708.22999999986
2012-06-05 19,420171.41999999987
2012-11-27 14,380705.59000000014
2012-03-11 11,263859.68999999989
2012-02-15 19,426378.82000000082
2012-08-16 8,314296.56999999989
2012-04-15 21,261014.91000000006
2012-06-27 22,411496.5199999992
2012-03-02 5,91147.400000000009
2012-05-04 1,192735.40000000008
2012-07-26 18,417166.8000000001
2012-07-19 18,393912.22999999957
2012-02-27 16,268766.86999999988
2012-06-08 18,391630.30000000005
2012-06-12 22,386000.12999999995
2012-07-24 23,325514.08999999968
2012-05-20 21,288472.67999999959
2012-03-04 22,248089.43999999971
2012-04-11 20,404852.16000000038
2012-08-12 2,266842.19000000006
2012-12-10 7,315553.04000000004
2012-08-24 11,248872.42000000022
2012-08-18 11,232162.10999999993
2012-07-28 8,131924.94999999992
2012-01-20 19,447145.08999999997
2012-10-27 7,139340.42999999991
2012-09-14 15,374164.34999999969
2012-10-02 8,382727.07000000007
2012-10-23 15,360455.80999999965
2012-09-07 6,192530.9700000002
2012-09-14 23,493680.04999999952
2012-10-07 22,289620.18999999936
2012-10-10 20,457673.15999999963
2012-12-02 3,314860.91000000003
2012-12-08 20,435340.57999999978
2012-12-17 8,363867.84999999992
2012-10-01 21,374668.29999999946
2012-10-31 13,269309.02999999985
2012-11-12 9,304281.83000000007
2012-10-25 6,178697.94000000009
2012-09-16 1,411466.92000000033
2012-09-14 22,484160.67000000016
2012-12-11 2,72652.29
2012-11-25 20,321247.02000000014
2012-10-11 4,63959.530000000108
2012-12-07 16,285436.85999999958
2012-06-18 13,285722.80999999965
2012-02-07 9,315717.4600000002
2012-07-01 7,83440.449999999924
2012-09-02 11,198863.79999999993
2012-04-16 10,270421.07000000007
2012-03-03 18,353947.74999999988
2012-08-01 15,269848.88
2012-04-19 6,164931.79000000007
2012-08-05 20,252455.49999999997
2012-06-23 16,246405.35000000015
2012-03-17 14,312160.14999999985
2012-03-31 12,309753.32000000007
2012-06-10 15,299525.99000000005
2012-07-26 23,378289.61999999936
2012-12-24 0,133291.85999999996
2012-07-04 21,219665.95999999996
2012-05-16 2,83694.960000000065
2012-05-16 20,412772.23999999964
2012-04-27 22,444165.44000000006
2012-04-17 19,405086.17000000004
2012-06-22 13,309965.48000000004
2012-04-18 20,412837.19000000024
2012-09-01 23,324130.8600000001
2012-03-25 23,213112.23999999993
2012-05-02 2,70606.909999999989
2012-08-02 1,144975.89999999967
2012-06-21 20,412633.07999999973
2012-07-14 1,335676.7800000002
2012-07-19 21,411075.8000000001
2012-05-18 14,344460.9600000002
2012-11-10 5,99614.980000000054
2012-09-19 2,71156.730000000069
2012-11-09 1,210290.74000000025
2012-11-17 5,108351.95000000007
2012-08-19 14,253027.62999999971
2012-05-14 11,298519.25999999972
2012-06-12 13,341945.68999999959
2012-02-20 11,225663.05
2012-03-20 11,252456.96000000011
2012-04-13 20,415388.37000000005
2012-08-12 23,208837.74
2012-07-13 1,217039.77000000014
2012-06-16 17,281140.77999999991
2012-06-19 22,366948.54000000021
2012-06-04 5,79362.740000000034
2012-08-29 0,201390.27999999959
2012-12-22 3,237944.14999999991
2012-10-26 5,113955.64000000016
2012-02-09 4,47234.540000000023
2012-06-23 17,280019.94
2012-08-06 2,67871.989999999976
2012-04-27 18,418059.20999999961
2012-01-26 10,278988.03000000009
2012-05-07 2,56787.12
2012-08-02 13,314274.87999999989
2012-05-04 9,343480.39999999956
2012-06-15 12,308227.79000000079
2012-04-07 19,309972.03999999986
2012-08-30 4,58142.550000000061
2012-08-18 4,132225.73
2012-10-15 4,60447.47000000003
2012-04-30 8,329099.50000000006
2012-06-29 5,97061.159999999843
2012-07-16 0,168109.58999999991
2012-03-04 6,76776.079999999944
2012-03-16 13,302359.57999999967
2012-08-21 1,90755.030000000115
2012-02-20 17,294838.78000000073
2012-06-03 7,98999.670000000027
2012-06-20 4,50358.629999999968
2012-03-08 5,83767.969999999928
2012-03-25 5,90011.31000000007
2012-05-03 17,350264.42999999964
2012-06-11 4,52954.950000000019
2012-06-24 6,83356.80999999991
2012-02-03 3,75597.090000000026
2012-06-05 3,38843.84999999994
2012-03-08 1,134023.40999999995
2012-03-07 2,62709.719999999965
2012-02-10 5,83036.7800000001
2012-08-26 6,78683.709999999977
2012-01-28 7,96215.750000000131
2012-01-10 3,34741.779999999926
2012-05-22 3,40332.149999999972
2012-07-12 4,58096.27
2012-07-09 2,49764.179999999942
2012-10-23 16,302002.7800000002
2012-04-04 14,335596.51999999949
2012-10-05 7,325146.00999999995
2012-02-12 17,318593.3000000001
2012-05-29 12,301611.3300000006
2012-10-11 0,240808.15000000014
2012-01-05 1,94807.739999999991
2012-08-18 0,381541.28999999963
2012-08-10 4,82211.129999999961
2012-07-23 16,263313.43000000017
2012-09-09 2,355880.51000000036
2012-09-24 8,372318.13999999937
2012-11-22 10,181394.8899999999
2012-12-26 11,224690.02999999994
2012-11-12 10,318177.51999999979
2012-11-26 11,308526.86000000028
2012-11-30 14,413635.34999999986
2012-11-26 20,390102.13999999943
2012-12-09 21,304930.10000000027
2012-12-12 20,483994.70999999915
2012-12-03 6,192890.55000000019
2012-12-08 14,375515.34999999963
2012-10-07 8,134358.36000000007
2012-09-18 9,357189.59999999957
2012-09-08 10,322908.47000000009
2012-11-25 14,355797.15999999968
2012-11-22 12,228343.72999999989
2012-09-26 7,228893.44000000012
2012-09-26 0,191159.65000000014
2012-12-17 21,428280.75999999989
