Pickup_Datetime,Total_amount	
2013-05-29 13,361198.68999999994
2013-09-04 12,331238.5499999997
2013-07-27 6,100861.95999999999
2013-01-24 7,306271.63000000059
2013-05-04 20,442014.25999999931
2013-10-30 21,459559.09000000037
2013-05-10 22,483211.87000000034
2013-07-16 16,300018.53999999969
2013-10-20 0,473066.64000000106
2013-09-20 21,467974.25000000017
2013-10-10 22,503388.84000000026
2013-01-26 20,440429.92999999889
2013-12-15 20,329505.98000000004
2013-12-06 17,383102.16000000009
2013-05-16 19,505408.94000000024
2013-08-07 16,292694.2300000001
2013-02-08 8,377070.73
2013-06-26 11,353221.40000000043
2013-10-12 16,283292.81999999948
2013-12-29 18,312747.40999999928
2013-02-02 17,336344.00000000006
2013-04-26 21,469694.46000000025
2013-03-25 20,336075.79000000074
2013-11-10 4,200797.14999999959
2013-01-10 0,187210.50000000006
2013-04-03 0,214211.33
2013-04-28 22,302064.21999999951
2013-07-07 8,107774.35000000012
2013-08-14 0,217737.66000000035
2013-10-25 6,190400.80000000025
2013-03-10 15,391042.28000000038
2013-07-25 15,350406.64999999967
2013-05-18 19,437584.21000000031
2013-04-04 13,381597.4300000004
2013-05-09 7,344555.80999999976
2013-05-23 15,329171.02
2013-10-12 12,349617.37999999971
2013-12-21 12,325425.24000000011
2013-06-22 10,235186.80999999962
2013-09-01 23,299131.53999999946
2013-11-15 5,108350.07000000024
2013-05-03 20,486415.72000000055
2013-12-10 22,467862.5400000001
2013-01-28 23,237250.43999999986
2013-06-24 17,335939.21999999986
2013-09-20 19,508201.57000000036
2013-01-16 16,301729.95999999973
2013-03-21 11,330929.92000000045
2013-07-17 13,370980.97
2013-01-22 14,356969.46999999986
2013-08-17 0,501729.4600000002
2013-12-10 6,169395.89999999982
2013-09-29 14,371738.87000000011
2013-01-04 19,452098.47000000009
2013-03-01 17,399463.88999999972
2013-04-02 7,302428.89999999932
2013-05-04 11,319977.8699999997
2013-10-28 12,303737.27
2013-06-27 9,393561.2900000001
2013-04-18 15,392543.24000000005
2013-11-20 8,382496.37999999989
2013-07-20 18,364236.31
2013-08-27 0,162561.49999999974
2013-04-12 7,341744.50000000017
2013-02-23 2,331186.87999999995
2013-03-17 10,266347.95999999979
2013-01-16 9,383097.10000000033
2013-12-18 11,356372.19000000047
2013-01-31 11,313768.51999999955
2013-11-02 9,243043.73999999982
2013-01-20 10,203027.41000000027
2013-11-17 15,369739.27000000008
2013-04-26 6,192033.99999999974
2013-02-18 7,136235.83000000016
2013-09-21 11,336881.53999999969
2013-12-11 8,408692.03000000067
2013-03-16 12,365435.14000000048
2013-11-04 7,323973.23999999993
2013-08-22 10,331267.87000000017
2013-12-15 12,373088.86000000045
2013-01-26 8,162273.29999999984
2013-05-28 13,366964.0499999997
2013-03-03 14,389804.66000000009
2013-03-04 9,362965.48
2013-02-18 9,219983.69999999995
2013-12-23 7,196931.24999999962
2013-02-23 19,434046.63000000012
2013-09-18 21,486786.03
2013-11-20 0,217461.82000000024
2013-01-11 3,75490.380000000121
2013-11-14 1,134485.91999999993
2013-07-02 22,370369.31000000035
2013-09-05 5,78369.660000000222
2013-11-20 21,483689.80999999994
2013-11-06 21,471844.92000000027
2013-02-26 5,75061.7300000001
2013-06-29 22,405776.9600000002
2013-05-19 1,412990.53999999946
2013-02-05 1,78314.49000000002
2013-04-23 5,78834.290000000066
2013-10-15 0,165234.60000000006
2013-06-30 23,270946.50999999972
2013-08-04 3,124981.11000000006
2013-11-04 5,130618.87999999996
2013-05-27 20,298549.01000000013
2013-07-16 20,382023.74999999994
2013-09-29 2,359195.58000000031
2013-09-15 1,426362.93000000011
2013-05-12 0,439563.04000000044
2013-09-21 22,469497.91999999987
