date_hour,total
2014-11-04 19,400736.35999999969
2014-09-29 9,319452.81999999983
2014-05-15 7,343056.44000000053
2014-05-01 23,469637.72000000015
2014-11-29 14,316977.22000000003
2014-09-26 23,456260.45999999944
2014-09-04 0,221394.65999999954
2014-02-23 1,422207.43999999989
2014-06-18 17,371538.97999999986
2014-09-12 17,384494.89000000019
2014-05-13 15,358061.97999999981
2014-10-17 1,205261.48000000007
2014-11-03 14,356830.88000000035
2014-06-16 9,336953.7800000002
2014-08-22 13,308095.71000000037
2014-07-08 8,340191.25999999995
2014-02-15 12,292870.55999999942
2014-11-18 12,342201.13999999984
2014-06-04 9,365598.40000000008
2014-12-15 6,202911.80999999974
2014-11-17 7,301049.79
2014-01-01 12,256002.21000000008
2014-09-07 22,309982.4499999996
2014-09-03 0,204449.59000000003
2014-10-24 18,451336.76999999996
2014-08-05 16,282910.93999999971
2014-01-29 17,359046.32000000041
2014-04-14 16,323381.93999999959
2014-01-16 8,378010.16000000027
2014-02-13 13,166223.16999999963
2014-04-22 14,359289.9699999998
2014-09-01 19,291646.22999999986
2014-12-26 13,224872.16999999998
2014-11-01 10,306209.50999999989
2014-01-24 12,343404.95999999938
2014-04-21 8,338469.29999999976
2014-06-11 12,376065.51999999967
2014-06-29 11,292230.43999999994
2014-08-21 9,327581.67000000022
2014-05-22 12,394759.66999999958
2014-01-24 8,389711.99000000051
2014-03-04 20,458865.29
2014-11-03 2,43962.400000000016
2014-09-16 8,393153.35000000021
2014-05-02 0,369793.57000000007
2014-11-30 22,268827.83999999979
2014-10-02 20,459124.1300000007
2014-04-05 0,452504.40999999974
2014-10-12 21,332060.61000000028
2014-06-04 13,365802.92000000074
2014-03-28 19,494675.15999999957
2014-04-05 11,330958.26999999996
2014-09-30 16,300109.14999999973
2014-11-27 1,164920.61999999991
2014-03-13 22,496501.69000000006
2014-12-22 8,268484.18999999983
2014-11-29 20,327341.0299999998
2014-01-11 19,414054.28999999951
2014-03-24 18,432896.62000000005
2014-12-19 18,448153.04000000085
2014-04-09 19,479388.5799999999
2014-08-08 8,318981.52999999991
2014-07-18 6,179923.2599999996
2014-01-02 22,177558.99999999971
2014-09-14 16,359880.81000000029
2014-07-14 12,292134.18999999989
2014-09-19 11,350497.37999999966
2014-04-05 10,292247.99999999983
2014-06-16 13,309952.57999999978
2014-01-18 19,388994.76000000013
2014-11-30 7,107520.83000000005
2014-06-06 6,200569.51999999961
2014-05-07 8,386714.53000000032
2014-08-09 17,287272.44999999955
2014-10-18 10,279125.22999999975
2014-08-04 6,169553.65999999989
2014-05-15 9,378808.71999999945
2014-02-05 9,313427.49
2014-08-06 9,337777.68000000028
2014-04-23 7,320105.1299999996
2014-11-22 5,96353.080000000016
2014-01-09 23,357465.29999999964
2014-12-02 2,52935.949999999961
2014-12-12 9,371832.86000000028
2014-02-02 22,438886.72000000015
2014-02-18 9,322859.42
2014-09-26 19,456305.37000000017
2014-12-03 20,419276.92999999982
2014-05-22 3,78934.380000000019
2014-06-04 2,73953.0
2014-08-11 18,371066.81000000041
2014-03-21 17,386047.95000000036
2014-10-06 19,424571.5
2014-03-26 19,500796.19000000035
2014-11-21 14,398110.91000000032
2014-05-19 17,372859.75
2014-07-15 18,439796.67000000068
2014-11-26 5,127762.31000000017
2014-11-16 22,274992.49000000022
2014-05-22 21,493949.6600000005
2014-04-06 22,325638.28999999951
2014-04-16 23,404166.13999999972
2014-01-24 22,463377.0100000003
2014-03-30 2,328195.31000000064
2014-07-01 17,328784.96
2014-05-14 22,468433.8100000007
2014-08-28 18,397229.90999999992
2014-10-03 12,332969.79000000015
2014-05-21 20,454339.22999999946
2014-12-19 22,480955.820000001
2014-08-20 20,398823.19000000029
2014-04-20 13,341274.81000000017
2014-04-19 17,320048.18000000005
2014-03-19 13,335088.24999999942
2014-02-24 15,324603.67000000039
2014-02-02 15,295857.86000000016
2014-12-24 7,151843.12999999992
2014-04-10 12,368887.74999999965
2014-03-08 17,354666.49000000011
2014-02-12 14,387524.5700000003
2014-10-26 17,362650.89999999991
2014-12-20 19,395990.92000000004
2014-12-07 18,383992.97000000015
2014-03-03 9,328388.29000000044
2014-10-15 13,349925.73000000068
2014-12-24 20,192599.30999999991
2014-01-23 20,458795.93000000023
2014-08-17 23,241723.38999999996
2014-12-02 23,331989.00000000058
2014-09-14 20,346833.48000000004
2014-11-06 21,486399.82999999984
2014-08-09 0,396157.52000000014
2014-02-15 23,431601.68999999954
2014-11-15 3,238241.62999999974
2014-07-14 4,60993.480000000105
2014-10-08 20,448677.24000000005
2014-10-14 1,100410.58999999994
2014-09-24 3,53310.200000000012
2014-04-20 21,329246.73000000016
2014-07-12 20,306068.10000000044
2014-02-28 23,495899.78999999946
2014-10-21 10,316231.74999999959
2014-12-30 19,367294.93000000005
2014-04-18 18,440058.7899999998
2014-03-20 13,351201.57999999973
2014-12-30 17,347297.00000000029
2014-05-25 16,278405.80999999982
2014-01-23 22,476632.77999999985
2014-03-05 1,123894.28999999991
2014-09-08 0,170601.80999999979
2014-01-18 4,171280.10000000018
2014-07-07 4,60908.700000000157
2014-01-12 4,171845.83000000002
2014-02-16 4,172080.03
2014-09-26 2,112744.21000000008
2014-12-10 12,367973.87999999942
2014-02-04 9,372383.92
2014-08-29 11,287089.24000000051
2014-11-17 13,342849.49000000017
2014-04-04 0,337775.84999999957
2014-09-18 18,448267.2800000002
2014-01-01 2,490688.53999999946
2014-11-01 7,151511.71999999988
2014-07-02 15,316165.96000000049
2014-02-19 7,292344.5399999998
2014-04-27 11,355288.27000000008
2014-07-19 10,219266.60999999981
2014-06-06 8,371168.16000000032
2014-06-21 8,168184.90999999995
2014-06-05 11,366866.72
2014-10-20 14,348747.57000000024
2014-10-01 8,369338.82999999949
2014-04-02 14,377346.96999999968
2014-05-14 0,266892.81999999966
2014-04-18 21,405570.4600000002
2014-05-10 0,466079.10000000027
2014-04-13 5,106390.45999999998
2014-05-26 1,205385.18999999989
2014-11-12 21,455573.94000000024
2014-09-30 22,410707.07999999978
2014-07-04 21,209003.99999999985
2014-06-28 19,371842.4800000008
2014-06-01 20,347991.03000000032
2014-02-24 22,369940.04000000015
2014-10-08 8,359838.50999999937
2014-09-30 11,313850.00999999995
2014-08-07 23,428368.05999999947
2014-03-25 11,295481.4599999999
2014-08-03 22,287328.68999999971
2014-10-12 2,336758.53000000038
2014-11-15 7,129516.61000000004
2014-11-24 21,346276.87000000075
2014-07-24 21,463643.35000000015
2014-07-30 16,270927.15999999992
2014-05-29 5,89364.48000000004
2014-11-06 22,478944.06000000017
2014-01-31 2,134500.13999999993
2014-02-09 2,361138.99999999971
2014-02-11 13,354959.35999999975
2014-03-06 11,365391.56000000017
2014-03-15 16,313380.98999999976
2014-04-29 15,363441.46000000031
2014-01-27 14,303831.19999999937
2014-01-06 22,292134.43
2014-01-08 23,282164.06999999966
2014-03-07 5,110469.47000000016
2014-12-15 21,404863.30000000045
2014-03-22 4,181886.33999999965
2014-09-23 13,315337.06999999966
2014-12-10 17,341042.34000000014
2014-11-10 23,267123.79999999993
2014-02-24 0,144184.6899999998
2014-03-12 0,228569.44
2014-01-06 3,62153.010000000111
2014-06-28 14,316121.27000000014
2014-03-20 0,279755.99999999994
2014-02-19 5,85824.790000000154
2014-10-15 17,384889.51000000059
2014-08-02 8,154505.11999999997
2014-10-02 0,238186.53999999989
2014-01-01 9,121282.62000000004
2014-03-02 6,109598.97000000016
2014-08-02 1,362265.68
2014-01-16 2,76544.899999999951
2014-07-11 5,94976.610000000073
2014-11-07 3,90299.359999999913
2014-08-16 13,287766.14999999967
2014-01-14 4,45423.720000000052
2014-01-23 5,89239.25
2014-08-12 4,53157.760000000089
2014-10-12 8,145505.33000000013
2014-04-22 4,46894.340000000069
2014-04-15 6,159599.73999999964
2014-09-14 17,371986.53000000038
2014-08-08 12,313428.36000000016
2014-04-25 14,403009.81000000029
2014-08-11 9,317890.17000000004
2014-11-07 13,381885.41000000027
2014-08-07 15,344938.99999999919
2014-06-15 15,330192.23000000021
2014-03-10 12,309218.12999999983
2014-05-21 12,389728.47000000026
2014-01-26 17,328260.96000000014
2014-09-11 20,452497.54999999993
2014-09-10 4,59422.47000000003
2014-04-06 2,368808.69000000024
2014-10-11 23,448791.02000000118
2014-09-22 16,296005.25000000017
2014-02-18 19,413832.85000000033
2014-05-06 15,364144.53000000032
2014-10-29 8,353496.78999999963
2014-09-23 9,332720.83999999997
2014-09-27 15,340626.92999999982
2014-06-28 13,314587.45999999961
2014-01-13 7,301989.67000000051
2014-06-11 11,350784.16
2014-08-28 0,222909.94999999975
2014-11-02 1,610652.81000000052
2014-12-14 23,222497.5399999998
2014-06-28 21,348466.10000000009
2014-03-09 4,293542.93
2014-05-15 12,390528.27000000031
2014-10-23 17,375061.80999999971
2014-07-02 17,368535.20999999932
2014-12-04 14,391608.48000000021
2014-09-09 19,448111.65000000061
2014-07-29 23,350715.61000000051
2014-04-09 20,479498.09999999957
2014-10-25 13,354458.61000000022
2014-09-06 12,336518.36999999953
2014-04-13 8,141763.71000000017
2014-09-03 15,336824.51999999967
2014-01-28 15,328042.78999999975
2014-04-09 15,362821.7699999999
2014-03-29 16,310055.19000000012
2014-01-26 19,305343.31999999995
2014-06-20 13,351671.28999999928
2014-03-22 22,472112.64000000007
2014-04-12 3,238381.63999999984
2014-10-07 20,420955.10999999969
2014-06-07 5,99875.9500000002
2014-02-24 20,399616.77999999985
2014-01-26 2,341676.20000000048
2014-03-27 2,79526.650000000067
2014-09-25 17,345185.54000000033
2014-05-29 19,507782.49999999913
2014-10-07 19,443925.9600000002
2014-11-11 8,327418.51999999944
2014-04-01 18,447838.65
2014-02-12 19,483259.84000000026
2014-09-24 17,349990.34999999945
2014-08-15 19,413368.25999999966
2014-01-07 18,435153.50999999983
2014-10-04 8,150237.90999999989
2014-02-18 10,292514.17999999964
2014-11-07 7,322183.96000000008
2014-05-02 13,372884.81999999983
2014-02-13 7,160989.68000000014
2014-04-25 0,348440.8899999999
2014-05-31 22,441050.15000000095
2014-03-11 16,288115.20999999961
2014-07-22 12,345719.59000000014
2014-05-11 17,355290.93000000058
2014-09-17 11,336980.85999999975
2014-09-01 18,303161.08000000007
2014-06-24 13,338107.54999999952
2014-06-12 10,356304.6
2014-07-19 8,150203.83999999985
2014-07-15 7,281197.31999999989
2014-05-18 17,380055.52000000043
2014-03-12 8,385784.34000000014
2014-04-23 10,359976.49000000005
2014-10-11 18,393322.02000000008
2014-01-11 9,192846.54999999993
2014-05-27 12,338056.81000000017
2014-04-26 19,436490.13999999966
2014-03-19 8,378846.83000000048
2014-07-23 5,84005.99000000018
2014-08-26 10,273847.55999999959
2014-12-14 19,333323.69999999984
2014-06-20 8,356989.57000000018
2014-07-15 15,289564.38999999926
2014-04-20 10,257048.91000000015
2014-05-11 12,366727.1100000001
2014-04-03 13,362007.71000000037
2014-02-01 11,283958.68999999977
2014-11-23 2,342583.46999999962
2014-09-07 21,328922.26000000042
2014-11-14 12,361681.37999999983
2014-08-11 22,314706.67999999993
2014-07-15 20,377771.37000000011
2014-02-11 20,462121.8499999998
2014-09-03 5,73652.380000000136
2014-05-24 20,278431.20999999973
2014-09-24 21,422648.32000000036
2014-02-18 5,97109.040000000183
2014-12-10 21,456051.13000000012
2014-07-29 18,407443.44000000018
2014-03-04 13,328914.54999999981
2014-07-23 9,357568.79999999976
2014-05-29 16,296579.78999999986
2014-10-30 16,301398.14999999962
2014-05-16 17,361911.41999999993
2014-01-07 19,427033.30999999982
2014-09-15 21,405324.73000000004
2014-08-20 22,416722.31000000046
2014-04-17 19,485771.6100000001
2014-07-27 17,338431.83
2014-01-22 17,337194.80000000005
2014-07-22 6,164806.56999999986
2014-05-16 11,368913.43999999983
2014-10-27 8,341831.11000000004
2014-06-18 9,361157.67999999982
2014-12-16 19,423968.53
2014-05-20 10,357212.47000000003
2014-07-30 11,316943.90000000008
2014-04-15 9,354564.72000000009
2014-02-21 1,191304.98000000016
2014-07-31 20,435988.81000000035
2014-05-19 10,334209.82000000036
2014-01-24 11,337348.25000000006
2014-12-01 11,307996.7800000002
2014-02-15 10,238500.41000000006
2014-02-11 14,377267.02000000014
2014-03-22 17,351611.9200000001
2014-08-09 16,264757.5500000001
2014-01-13 11,273165.65000000031
2014-08-19 8,315537.23999999976
2014-08-09 11,270567.35
2014-02-11 7,317044.36999999994
2014-02-10 10,307653.4299999997
2014-03-31 6,202012.7999999999
2014-07-09 11,309090.37
2014-04-21 11,291783.28
2014-03-08 8,195943.90999999983
2014-07-29 21,424087.2899999998
2014-11-01 1,448408.91000000009
2014-06-16 20,405992.20000000024
2014-10-24 2,125914.26999999993
2014-10-11 3,228948.09999999966
2014-02-23 21,274991.54999999976
2014-01-15 23,324003.46
2014-07-18 0,345958.5199999999
2014-07-14 23,282528.48
2014-06-26 5,102387.88000000005
2014-11-17 23,271803.08999999979
2014-04-21 22,339205.83000000031
2014-02-03 1,126294.99000000021
2014-06-03 20,405672.79000000033
2014-09-26 1,168175.24000000008
2014-04-08 17,368144.32999999978
2014-03-27 19,494177.9499999996
2014-02-09 16,333182.04000000021
2014-12-08 16,324634.17000000033
2014-08-12 18,403963.21999999962
2014-04-18 7,198111.47999999998
2014-03-28 18,466748.88000000024
2014-01-17 13,338500.98000000004
2014-02-20 6,175687.66999999995
2014-01-15 18,472610.60000000015
2014-08-05 19,399571.67000000016
2014-07-21 20,338167.59000000014
2014-10-16 1,127741.29000000002
2014-07-06 3,144419.06999999992
2014-02-21 23,475344.35999999975
2014-10-09 18,459209.9900000004
2014-10-27 13,296258.02999999997
2014-11-16 10,268308.18999999948
2014-06-07 14,353868.10000000021
2014-04-21 19,410417.00999999978
2014-11-05 11,339750.0099999996
2014-06-05 13,370470.13000000035
2014-04-18 13,351951.93
2014-02-07 6,187181.14999999988
2014-03-26 12,339558.66000000027
2014-09-13 19,420465.84999999934
2014-11-14 6,196964.29999999935
2014-08-28 20,389565.71999999962
2014-02-25 5,81762.510000000184
2014-07-26 4,161588.58999999985
2014-07-22 21,439728.78999999957
