Pickup_Datetime,Total_amount
12/28/2018 10:00 PM, 175568
09/27/2018 08:00 PM, 317836
04/08/2018 11:00 PM, 134583
04/15/2018 04:00 PM, 272578
12/16/2018 01:00 PM, 281206
02/12/2018 08:00 PM, 271810
10/13/2018 05:00 PM, 263657
10/06/2018 12:00 PM, 235845
01/27/2018 04:00 PM, 235534
07/27/2018 11:00 AM, 212920
07/15/2018 02:00 AM, 121579
05/31/2018 08:00 AM, 265020
05/12/2018 06:00 AM, 64639.6
04/27/2018 02:00 AM, 67019.4
02/21/2018 02:00 PM, 253230
07/07/2018 11:00 PM, 176408
07/14/2018 04:00 PM, 214292
05/11/2018 08:00 PM, 298492
04/19/2018 11:00 PM, 296409
04/26/2018 04:00 PM, 314070
12/27/2018 01:00 PM, 219401
03/11/2018 11:00 AM, 201319
08/30/2018 08:00 AM, 205610
01/18/2018 07:00 PM, 332291
08/11/2018 06:00 AM, 55056.9
07/26/2018 02:00 AM, 40198
02/15/2018 09:00 AM, 246454
10/16/2018 06:00 AM, 117611
05/20/2018 02:00 PM, 279688
11/30/2018 12:00 PM, 254764
11/11/2018 10:00 PM, 168731
08/10/2018 08:00 PM, 223092
07/18/2018 11:00 PM, 247573
07/25/2018 04:00 PM, 257110
06/10/2018 11:00 AM, 203944
03/22/2018 11:00 AM, 216824
11/30/2018 01:00 AM, 93256.2
10/15/2018 08:00 PM, 246472
01/29/2018 07:00 PM, 264594
03/10/2018 02:00 AM, 146968
08/22/2018 06:00 AM, 98007.6
05/14/2018 09:00 AM, 251707
04/29/2018 05:00 AM, 49527.4
02/26/2018 09:00 AM, 245323
10/27/2018 06:00 AM, 56248.7
02/07/2018 07:00 AM, 215272
05/31/2018 02:00 PM, 297725
10/08/2018 04:00 AM, 35748.5
11/22/2018 10:00 PM, 130713
03/02/2018 11:00 PM, 226249
11/10/2018 01:00 PM, 272431
06/21/2018 11:00 AM, 255342
04/28/2018 07:00 PM, 305419
12/29/2018 04:00 PM, 212160
04/09/2018 05:00 PM, 296083
10/26/2018 08:00 PM, 284185
02/06/2018 09:00 PM, 303699
03/21/2018 02:00 AM, 40688.6
10/07/2018 06:00 PM, 254293
08/13/2018 09:00 AM, 204338
07/28/2018 05:00 AM, 49270.8
07/09/2018 03:00 AM, 18454.7
05/25/2018 09:00 AM, 212345
05/06/2018 07:00 AM, 90229.4
08/30/2018 02:00 PM, 256647
11/04/2018 08:00 AM, 93721.4
02/18/2018 07:00 AM, 59705.4
06/01/2018 11:00 PM, 303314
10/19/2018 04:00 AM, 39926.1
03/13/2018 11:00 PM, 179153
09/20/2018 11:00 AM, 241928
07/27/2018 07:00 PM, 287313
07/08/2018 05:00 PM, 218314
05/05/2018 09:00 PM, 278969
06/20/2018 02:00 AM, 39012.1
12/30/2018 12:00 AM, 147393
02/17/2018 09:00 PM, 224237
10/18/2018 06:00 PM, 352993
03/05/2018 12:00 AM, 123664
03/12/2018 05:00 AM, 69362.1
08/24/2018 09:00 AM, 188676
11/13/2018 02:00 AM, 22115.2
02/27/2018 01:00 AM, 44981.1
08/05/2018 07:00 AM, 70485.7
05/17/2018 07:00 AM, 248089
11/15/2018 08:00 AM, 272536
06/12/2018 11:00 PM, 221046
03/11/2018 07:00 PM, 232411
11/12/2018 04:00 PM, 264434
11/05/2018 11:00 PM, 156056
02/26/2018 03:00 PM, 247289
02/19/2018 10:00 PM, 184624
08/04/2018 09:00 PM, 194200
02/07/2018 01:00 PM, 249271
07/19/2018 05:00 PM, 283337
05/16/2018 09:00 PM, 339658
06/11/2018 05:00 AM, 66811.7
05/26/2018 01:00 AM, 129542
03/16/2018 12:00 AM, 186177
03/23/2018 05:00 AM, 72169.5
11/24/2018 02:00 AM, 64001.9
03/04/2018 03:00 AM, 142779
08/16/2018 07:00 AM, 170553
01/20/2018 09:00 AM, 146898
01/01/2018 07:00 AM, 65971.7
05/28/2018 07:00 AM, 64229.2
09/11/2018 11:00 PM, 175658
06/10/2018 07:00 PM, 223416
05/18/2018 10:00 PM, 340761
05/25/2018 03:00 PM, 261571
05/06/2018 01:00 PM, 249228
03/22/2018 07:00 PM, 332731
11/23/2018 04:00 PM, 203018
11/16/2018 11:00 PM, 296140
03/03/2018 05:00 PM, 268894
08/15/2018 09:00 PM, 270820
11/04/2018 02:00 PM, 253630
02/18/2018 01:00 PM, 213102
06/15/2018 12:00 AM, 199351
06/22/2018 05:00 AM, 70948
06/03/2018 03:00 AM, 112737
12/20/2018 06:00 AM, 124027
03/27/2018 12:00 AM, 93894.3
12/01/2018 04:00 AM, 71645.4
03/08/2018 10:00 AM, 234335
03/15/2018 03:00 AM, 29698.7
08/27/2018 07:00 AM, 148528
01/31/2018 09:00 AM, 248951
01/12/2018 07:00 AM, 211591
08/17/2018 10:00 PM, 250858
08/24/2018 03:00 PM, 231257
08/05/2018 01:00 PM, 206037
01/02/2018 10:00 PM, 174383
06/21/2018 07:00 PM, 325930
05/29/2018 10:00 PM, 226999
06/02/2018 05:00 PM, 263541
05/17/2018 01:00 PM, 288548
11/27/2018 11:00 PM, 194000
03/07/2018 12:00 PM, 162966
03/14/2018 05:00 PM, 339083
11/15/2018 02:00 PM, 293182
01/11/2018 09:00 PM, 304103
09/14/2018 12:00 AM, 171970
09/21/2018 05:00 AM, 61774.3
09/02/2018 03:00 AM, 73345.8
01/21/2018 01:00 AM, 196665
06/26/2018 12:00 AM, 106754
06/07/2018 10:00 AM, 246409
06/14/2018 03:00 AM, 28192.5
04/30/2018 09:00 AM, 252146
12/31/2018 06:00 AM, 59450.8
04/11/2018 07:00 AM, 229393
12/12/2018 04:00 AM, 27833.4
12/05/2018 11:00 AM, 252939
03/19/2018 10:00 AM, 220902
03/26/2018 03:00 AM, 19351.4
09/20/2018 07:00 PM, 327805
08/28/2018 10:00 PM, 222199
09/01/2018 05:00 PM, 191970
08/16/2018 01:00 PM, 239317
01/20/2018 03:00 PM, 258195
01/13/2018 10:00 PM, 262294
11/09/2018 09:00 AM, 244520
01/01/2018 01:00 PM, 180288
06/06/2018 12:00 PM, 265549
06/13/2018 05:00 PM, 319003
05/28/2018 01:00 PM, 185253
12/30/2018 08:00 PM, 154242
04/10/2018 09:00 PM, 322246
12/11/2018 06:00 PM, 312354
03/18/2018 12:00 PM, 244932
03/25/2018 05:00 PM, 265642
11/26/2018 02:00 PM, 264515
09/25/2018 12:00 AM, 91459.7
04/20/2018 01:00 AM, 106018
09/06/2018 10:00 AM, 253707
09/13/2018 03:00 AM, 25815.9
10/30/2018 11:00 AM, 214853
02/10/2018 12:00 AM, 235917
07/10/2018 07:00 AM, 172179
06/18/2018 10:00 AM, 222027
06/25/2018 03:00 AM, 33300.4
03/17/2018 06:00 AM, 69719
11/18/2018 03:00 AM, 120865
04/12/2018 10:00 PM, 329722
09/05/2018 12:00 PM, 255427
09/12/2018 05:00 PM, 312688
08/27/2018 01:00 PM, 190795
10/10/2018 11:00 PM, 210875
01/31/2018 03:00 PM, 269078
01/24/2018 10:00 PM, 287775
01/12/2018 01:00 PM, 243737
06/17/2018 12:00 PM, 209715
06/24/2018 05:00 PM, 215553
12/02/2018 09:00 PM, 181927
03/16/2018 08:00 PM, 323818
11/17/2018 05:00 PM, 267533
09/17/2018 10:00 AM, 215085
09/24/2018 03:00 AM, 18834.7
02/21/2018 12:00 AM, 99355.4
02/02/2018 10:00 AM, 224398
12/14/2018 07:00 AM, 218285
03/28/2018 06:00 AM, 123919
07/11/2018 10:00 PM, 279582
11/29/2018 03:00 AM, 25551.4
03/09/2018 04:00 AM, 50714.3
01/06/2018 08:00 AM, 94230
04/23/2018 10:00 PM, 237671
04/30/2018 03:00 PM, 307792
04/11/2018 01:00 PM, 269083
09/16/2018 12:00 PM, 241887
09/23/2018 05:00 PM, 259451
10/21/2018 11:00 PM, 141318
02/01/2018 12:00 PM, 241070
01/23/2018 01:00 PM, 200502
06/15/2018 08:00 PM, 242855
07/30/2018 01:00 AM, 51325.6
05/20/2018 12:00 AM, 224703
12/13/2018 09:00 PM, 341666
03/27/2018 08:00 PM, 310119
05/01/2018 10:00 AM, 229260
11/28/2018 05:00 PM, 285489
03/08/2018 06:00 PM, 373985
11/09/2018 03:00 PM, 291176
06/27/2018 06:00 AM, 122818
06/08/2018 04:00 AM, 44549.9
12/25/2018 07:00 AM, 37267
04/05/2018 08:00 AM, 251996
07/22/2018 10:00 PM, 140101
12/06/2018 05:00 AM, 59107.7
07/10/2018 01:00 PM, 237205
10/03/2018 09:00 AM, 249612
01/17/2018 08:00 AM, 258472
04/22/2018 01:00 PM, 265172
08/29/2018 04:00 PM, 247925
01/14/2018 04:00 PM, 261743
06/26/2018 08:00 PM, 268767
06/07/2018 06:00 PM, 344520
05/31/2018 12:00 AM, 125463
12/24/2018 09:00 PM, 125490
05/12/2018 10:00 AM, 247970
12/05/2018 07:00 PM, 306771
03/19/2018 06:00 PM, 303078
09/26/2018 06:00 AM, 125859
09/07/2018 04:00 AM, 40130.5
02/11/2018 06:00 AM, 50847
10/12/2018 03:00 AM, 35396.7
10/05/2018 10:00 AM, 229629
01/26/2018 02:00 AM, 57272.9
07/04/2018 08:00 AM, 62728.1
06/19/2018 04:00 AM, 25239.5
04/16/2018 08:00 AM, 259828
12/17/2018 05:00 AM, 65222.8
07/21/2018 01:00 PM, 191936
09/25/2018 08:00 PM, 270949
09/06/2018 06:00 PM, 335576
10/30/2018 07:00 PM, 300832
02/10/2018 08:00 PM, 238558
08/30/2018 12:00 AM, 116693
10/11/2018 05:00 PM, 311169
10/04/2018 12:00 PM, 273620
01/25/2018 04:00 PM, 288576
01/18/2018 11:00 PM, 231286
08/11/2018 10:00 AM, 136698
01/06/2018 02:00 PM, 219963
06/18/2018 06:00 PM, 318527
12/16/2018 07:00 PM, 217972
05/10/2018 06:00 AM, 138567
04/25/2018 02:00 AM, 31925.8
09/18/2018 04:00 AM, 21719
02/22/2018 06:00 AM, 119499
10/23/2018 03:00 AM, 16934.2
10/16/2018 10:00 AM, 222851
02/03/2018 04:00 AM, 66317.8
07/15/2018 08:00 AM, 80708.2
10/04/2018 01:00 AM, 75263.6
08/10/2018 12:00 PM, 222716
04/17/2018 11:00 PM, 194395
04/24/2018 04:00 PM, 287757
12/25/2018 01:00 PM, 114048
04/05/2018 02:00 PM, 301178
09/17/2018 06:00 PM, 289463
02/21/2018 08:00 PM, 298958
10/22/2018 05:00 PM, 285642
10/15/2018 12:00 PM, 220802
02/02/2018 06:00 PM, 357064
01/29/2018 11:00 PM, 140398
10/03/2018 03:00 PM, 278494
01/17/2018 02:00 PM, 245812
06/29/2018 06:00 PM, 299409
07/24/2018 02:00 AM, 31985.7
05/21/2018 06:00 AM, 124125
05/02/2018 04:00 AM, 30931
09/29/2018 04:00 AM, 71358.9
10/27/2018 10:00 AM, 179242
02/14/2018 04:00 AM, 31087.4
02/07/2018 11:00 AM, 224587
10/15/2018 01:00 AM, 33481.1
12/19/2018 08:00 AM, 247149
07/16/2018 11:00 PM, 172641
07/23/2018 04:00 PM, 229731
07/04/2018 02:00 PM, 149256
05/20/2018 08:00 PM, 210542
04/28/2018 11:00 PM, 297248
05/01/2018 06:00 PM, 351076
09/28/2018 06:00 PM, 321410
04/16/2018 02:00 PM, 245421
10/26/2018 12:00 PM, 257738
02/13/2018 06:00 PM, 300545
10/14/2018 03:00 PM, 271911
10/07/2018 10:00 PM, 190372
01/28/2018 02:00 PM, 241475
08/20/2018 06:00 AM, 112196
08/01/2018 04:00 AM, 29883.5
05/06/2018 11:00 AM, 228339
05/13/2018 04:00 AM, 76452.4
11/30/2018 07:00 AM, 208886
03/10/2018 08:00 AM, 118738
11/11/2018 05:00 AM, 46603.4
11/04/2018 12:00 AM, 235365
02/18/2018 11:00 AM, 164768
07/27/2018 11:00 PM, 237813
07/15/2018 02:00 PM, 201693
05/31/2018 08:00 PM, 291768
05/12/2018 06:00 PM, 296320
04/27/2018 02:00 PM, 309440
03/31/2018 11:00 AM, 180137
08/31/2018 06:00 AM, 107612
08/05/2018 11:00 AM, 167920
08/12/2018 04:00 AM, 69666.1
05/17/2018 11:00 AM, 275481
05/24/2018 04:00 AM, 40437
11/02/2018 08:00 AM, 249670
02/16/2018 07:00 AM, 195231
10/17/2018 04:00 AM, 28867.4
07/09/2018 09:00 AM, 218262
03/11/2018 11:00 PM, 134308
08/30/2018 08:00 PM, 236584
08/11/2018 06:00 PM, 197992
07/26/2018 02:00 PM, 269923
02/15/2018 09:00 PM, 347904
03/30/2018 02:00 AM, 76810.6
10/16/2018 06:00 PM, 341047
08/16/2018 11:00 AM, 215266
08/23/2018 04:00 AM, 29147.7
01/01/2018 11:00 AM, 150988
05/15/2018 07:00 AM, 224757
11/13/2018 08:00 AM, 268229
02/27/2018 07:00 AM, 206060
06/10/2018 11:00 PM, 154091
10/28/2018 04:00 AM, 97264.9
02/08/2018 05:00 AM, 59626.8
10/09/2018 02:00 AM, 22237.5
03/22/2018 11:00 PM, 287849
11/30/2018 01:00 PM, 277454
03/10/2018 02:00 PM, 283970
08/22/2018 06:00 PM, 290320
05/14/2018 09:00 PM, 299869
04/29/2018 05:00 PM, 283268
12/20/2018 10:00 AM, 226153
02/26/2018 09:00 PM, 266648
10/27/2018 06:00 PM, 249986
02/07/2018 07:00 PM, 296686
10/08/2018 04:00 PM, 226855
08/14/2018 07:00 AM, 168950
07/29/2018 03:00 AM, 108767
05/26/2018 07:00 AM, 73845.6
05/07/2018 05:00 AM, 61156
11/24/2018 08:00 AM, 80968.2
03/04/2018 09:00 AM, 141612
06/21/2018 11:00 PM, 289081
11/05/2018 06:00 AM, 137896
02/19/2018 05:00 AM, 47263.4
03/21/2018 02:00 PM, 98003.5
08/13/2018 09:00 PM, 217158
07/28/2018 05:00 PM, 230106
07/09/2018 03:00 PM, 226996
05/25/2018 09:00 PM, 223005
05/06/2018 07:00 PM, 223253
12/31/2018 10:00 AM, 116392
11/04/2018 08:00 PM, 216791
02/18/2018 07:00 PM, 201734
10/19/2018 04:00 PM, 295082
08/25/2018 07:00 AM, 76746.5
08/06/2018 05:00 AM, 61636.9
01/10/2018 07:00 AM, 203830
06/03/2018 09:00 AM, 140159
09/20/2018 11:00 PM, 271647
05/18/2018 05:00 AM, 70253
03/15/2018 09:00 AM, 282954
11/16/2018 06:00 AM, 146008
06/20/2018 02:00 PM, 296510
12/30/2018 12:00 PM, 163371
03/05/2018 12:00 PM, 199534
03/12/2018 05:00 PM, 309886
08/24/2018 09:00 PM, 205664
11/13/2018 02:00 PM, 267782
02/27/2018 01:00 PM, 229549
08/05/2018 07:00 PM, 195131
07/10/2018 11:00 AM, 219945
05/17/2018 07:00 PM, 344545
11/15/2018 08:00 PM, 202576
12/10/2018 04:00 AM, 28445.9
12/03/2018 11:00 AM, 224492
03/17/2018 10:00 AM, 191670
03/24/2018 03:00 AM, 110094
09/02/2018 09:00 AM, 93806.9
03/05/2018 01:00 AM, 40145.8
08/17/2018 05:00 AM, 52554.6
01/21/2018 07:00 AM, 70649.6
01/02/2018 05:00 AM, 56939.7
06/14/2018 09:00 AM, 262761
05/29/2018 05:00 AM, 58752.3
11/07/2018 09:00 AM, 238571
06/11/2018 05:00 PM, 298657
05/26/2018 01:00 PM, 203825
03/16/2018 12:00 PM, 275291
03/23/2018 05:00 PM, 320838
11/24/2018 02:00 PM, 206736
03/04/2018 03:00 PM, 261524
08/16/2018 07:00 PM, 279498
01/20/2018 09:00 PM, 229518
01/01/2018 07:00 PM, 158603
05/28/2018 07:00 PM, 201522
06/16/2018 10:00 AM, 167231
06/23/2018 03:00 AM, 117289
06/04/2018 01:00 AM, 51217.9
04/20/2018 07:00 AM, 228996
12/21/2018 04:00 AM, 51383.6
12/14/2018 11:00 AM, 247570
03/28/2018 10:00 AM, 239080
04/01/2018 05:00 AM, 51507.1
09/13/2018 09:00 AM, 249187
12/02/2018 02:00 AM, 157702
03/16/2018 01:00 AM, 103675
08/28/2018 05:00 AM, 45045.4
01/06/2018 12:00 AM, 189466
01/13/2018 05:00 AM, 46684.6
11/18/2018 09:00 AM, 134046
06/15/2018 12:00 PM, 232103
06/22/2018 05:00 PM, 299036
06/03/2018 03:00 PM, 260112
12/20/2018 06:00 PM, 321302
03/27/2018 12:00 PM, 256855
12/01/2018 04:00 PM, 254099
03/08/2018 10:00 PM, 325564
03/15/2018 03:00 PM, 316705
08/27/2018 07:00 PM, 224645
01/31/2018 09:00 PM, 316556
01/12/2018 07:00 PM, 343892
09/15/2018 10:00 AM, 177991
09/22/2018 03:00 AM, 109076
09/03/2018 01:00 AM, 75916.5
06/27/2018 10:00 AM, 227544
06/15/2018 01:00 AM, 119110
12/25/2018 11:00 AM, 89418.3
04/05/2018 12:00 AM, 133389
04/12/2018 05:00 AM, 63804.3
12/13/2018 02:00 AM, 47957.8
03/27/2018 01:00 AM, 52489.9
09/14/2018 12:00 PM, 242965
09/21/2018 05:00 PM, 299549
09/02/2018 03:00 PM, 182995
11/29/2018 09:00 AM, 245112
01/21/2018 01:00 PM, 219640
06/26/2018 12:00 PM, 228790
06/07/2018 10:00 PM, 334257
06/14/2018 03:00 PM, 301384
04/30/2018 09:00 PM, 276329
12/31/2018 06:00 PM, 204628
04/11/2018 07:00 PM, 338154
12/12/2018 04:00 PM, 272096
12/05/2018 11:00 PM, 227274
03/19/2018 10:00 PM, 245641
03/26/2018 03:00 PM, 246835
09/26/2018 10:00 AM, 220293
09/14/2018 01:00 AM, 97113.2
02/11/2018 10:00 AM, 165582
07/30/2018 07:00 AM, 162448
07/04/2018 12:00 AM, 128483
07/11/2018 05:00 AM, 49084
06/26/2018 01:00 AM, 55238.1
11/09/2018 09:00 PM, 256212
10/01/2018 09:00 AM, 218558
01/15/2018 08:00 AM, 142161
09/25/2018 12:00 PM, 219779
04/20/2018 01:00 PM, 281755
09/06/2018 10:00 PM, 299580
09/13/2018 03:00 PM, 301555
10/30/2018 11:00 PM, 201446
02/10/2018 12:00 PM, 260932
07/10/2018 07:00 PM, 289836
06/18/2018 10:00 PM, 208080
06/25/2018 03:00 PM, 242638
05/10/2018 10:00 AM, 249893
03/17/2018 06:00 PM, 297898
11/18/2018 03:00 PM, 245179
09/25/2018 01:00 AM, 51835.2
02/22/2018 10:00 AM, 224455
02/10/2018 01:00 AM, 173199
07/15/2018 12:00 AM, 234097
04/14/2018 08:00 AM, 135030
12/15/2018 05:00 AM, 46031.7
12/08/2018 12:00 AM, 252897
03/29/2018 04:00 AM, 36822.5
10/12/2018 09:00 AM, 239310
01/26/2018 08:00 AM, 256896
01/07/2018 06:00 AM, 52209.2
09/17/2018 10:00 PM, 207062
09/24/2018 03:00 PM, 232786
02/21/2018 12:00 PM, 233286
02/02/2018 10:00 PM, 312934
05/21/2018 10:00 AM, 217200
12/14/2018 07:00 PM, 341303
03/28/2018 06:00 PM, 338635
11/29/2018 03:00 PM, 294170
03/09/2018 04:00 PM, 301746
02/21/2018 01:00 AM, 52930
01/06/2018 08:00 PM, 201798
07/13/2018 08:00 AM, 218325
06/28/2018 04:00 AM, 33503.6
06/09/2018 02:00 AM, 140286
04/25/2018 08:00 AM, 285847
12/26/2018 05:00 AM, 32542.1
12/19/2018 12:00 AM, 131416
04/06/2018 06:00 AM, 119185
07/30/2018 01:00 PM, 204702
12/07/2018 03:00 AM, 46003.7
10/23/2018 09:00 AM, 240625
05/20/2018 12:00 PM, 242029
10/04/2018 07:00 AM, 226893
01/18/2018 06:00 AM, 124693
05/01/2018 10:00 PM, 292175
08/20/2018 10:00 AM, 180674
06/27/2018 06:00 PM, 328350
06/08/2018 04:00 PM, 284417
12/25/2018 07:00 PM, 115166
04/05/2018 08:00 PM, 322913
05/20/2018 01:00 AM, 178867
12/06/2018 05:00 PM, 315880
11/30/2018 11:00 AM, 251158
10/03/2018 09:00 PM, 317217
01/17/2018 08:00 PM, 277122
09/27/2018 04:00 AM, 34777.5
09/08/2018 02:00 AM, 144618
02/12/2018 04:00 AM, 30060
02/05/2018 11:00 AM, 202134
07/24/2018 08:00 AM, 234578
10/13/2018 01:00 AM, 182547
07/05/2018 06:00 AM, 75793.3
04/17/2018 06:00 AM, 127979
12/18/2018 03:00 AM, 21093.4
05/31/2018 12:00 PM, 287875
05/12/2018 10:00 PM, 253715
09/26/2018 06:00 PM, 297246
09/07/2018 04:00 PM, 260101
02/11/2018 06:00 PM, 215890
08/31/2018 10:00 AM, 173217
10/12/2018 03:00 PM, 276699
10/05/2018 10:00 PM, 279673
01/26/2018 02:00 PM, 280010
07/04/2018 08:00 PM, 143964
06/19/2018 04:00 PM, 269250
04/16/2018 08:00 PM, 268294
12/17/2018 05:00 PM, 276384
05/11/2018 04:00 AM, 47819.3
09/19/2018 02:00 AM, 29854.4
11/02/2018 12:00 AM, 153994
02/23/2018 04:00 AM, 42701.2
02/16/2018 11:00 AM, 218062
10/24/2018 01:00 AM, 54513
02/04/2018 02:00 AM, 140488
07/16/2018 06:00 AM, 130319
08/30/2018 12:00 PM, 232095
08/11/2018 10:00 PM, 183587
05/10/2018 06:00 PM, 354747
04/25/2018 02:00 PM, 313175
09/18/2018 04:00 PM, 254557
02/22/2018 06:00 PM, 340025
10/23/2018 03:00 PM, 265882
10/16/2018 10:00 PM, 285928
02/03/2018 04:00 PM, 245635
07/15/2018 08:00 PM, 190480
10/04/2018 01:00 PM, 271184
05/15/2018 11:00 AM, 273173
05/22/2018 04:00 AM, 29020.5
05/03/2018 02:00 AM, 40134.4
11/20/2018 05:00 AM, 58101
11/13/2018 12:00 AM, 88182.5
02/27/2018 11:00 AM, 224182
11/01/2018 03:00 AM, 61707.7
02/15/2018 02:00 AM, 42015.1
07/27/2018 06:00 AM, 118626
04/19/2018 09:00 AM, 260035
07/24/2018 02:00 PM, 257092
05/21/2018 06:00 PM, 316487
05/02/2018 04:00 PM, 301053
09/29/2018 04:00 PM, 235336
10/27/2018 10:00 PM, 257096
02/14/2018 04:00 PM, 271828
02/07/2018 11:00 PM, 191908
10/15/2018 01:00 PM, 224884
08/14/2018 11:00 AM, 208827
08/21/2018 04:00 AM, 25213.4
08/02/2018 02:00 AM, 45263.3
05/26/2018 11:00 AM, 166516
12/19/2018 08:00 PM, 287195
05/14/2018 02:00 AM, 26898.3
03/30/2018 08:00 AM, 176849
11/24/2018 12:00 AM, 108893
03/11/2018 06:00 AM, 60691
11/12/2018 03:00 AM, 18374
11/05/2018 10:00 AM, 230878
02/26/2018 02:00 AM, 25284.1
07/18/2018 09:00 AM, 257771
08/20/2018 06:00 PM, 258849
08/01/2018 04:00 PM, 236952
10/09/2018 08:00 AM, 251725
05/06/2018 11:00 PM, 140202
05/13/2018 04:00 PM, 257000
11/30/2018 07:00 PM, 319766
03/10/2018 08:00 PM, 258952
11/11/2018 05:00 PM, 267699
11/04/2018 12:00 PM, 206906
02/18/2018 11:00 PM, 163184
08/25/2018 11:00 AM, 151881
08/13/2018 02:00 AM, 35055.6
01/10/2018 11:00 AM, 209656
06/10/2018 06:00 AM, 59303.8
05/25/2018 02:00 AM, 69653.5
02/17/2018 05:00 AM, 49128.6
07/29/2018 09:00 AM, 108130
10/18/2018 02:00 AM, 35851.7
