Pickup_Datetime,Total_amount
03/05/2019 12:00 PM, 251239
02/03/2019 02:00 PM, 229853
06/23/2019 09:00 PM, 203636
01/11/2019 05:00 PM, 285042
01/04/2019 12:00 PM, 169085
06/04/2019 07:00 PM, 272175
06/20/2019 10:00 AM, 232572
05/19/2019 03:00 PM, 257963
04/27/2019 06:00 PM, 272704
04/08/2019 04:00 PM, 262547
03/16/2019 07:00 PM, 314906
06/08/2019 09:00 PM, 224914
01/31/2019 10:00 AM, 189317
06/24/2019 12:00 AM, 101400
06/12/2019 03:00 AM, 20089.8
06/05/2019 10:00 AM, 235282
05/20/2019 06:00 AM, 121702
04/11/2019 03:00 AM, 23450.4
01/16/2019 10:00 AM, 205004
01/23/2019 03:00 AM, 18816.5
06/16/2019 05:00 AM, 41958
06/09/2019 12:00 AM, 198279
01/04/2019 01:00 AM, 47157
05/24/2019 08:00 AM, 213461
05/05/2019 06:00 AM, 61115.3
04/13/2019 09:00 AM, 165049
03/04/2019 06:00 AM, 98655.4
03/28/2019 05:00 AM, 51333.5
02/12/2019 09:00 AM, 229152
02/19/2019 02:00 AM, 17906
01/27/2019 05:00 AM, 37174
01/08/2019 03:00 AM, 15856.2
05/09/2019 08:00 AM, 255329
01/30/2019 12:00 PM, 198056
06/30/2019 07:00 PM, 173724
01/11/2019 10:00 PM, 249787
06/11/2019 05:00 PM, 297334
06/04/2019 12:00 PM, 218593
05/02/2019 02:00 PM, 302400
05/26/2019 01:00 PM, 178677
04/10/2019 05:00 PM, 317162
04/03/2019 12:00 PM, 266418
04/27/2019 11:00 PM, 282267
03/25/2019 01:00 PM, 198374
02/26/2019 11:00 PM, 166207
02/14/2019 02:00 PM, 285714
01/15/2019 12:00 PM, 213578
01/22/2019 05:00 PM, 243326
06/15/2019 07:00 PM, 224433
01/03/2019 03:00 PM, 211711
05/04/2019 08:00 PM, 261416
04/30/2019 10:00 AM, 224786
03/03/2019 08:00 PM, 182447
02/18/2019 04:00 PM, 242254
01/26/2019 07:00 PM, 244617
06/19/2019 09:00 PM, 299654
01/07/2019 05:00 PM, 223496
01/30/2019 01:00 AM, 35122.1
04/15/2019 10:00 AM, 243634
04/22/2019 03:00 AM, 16122.5
04/03/2019 01:00 AM, 47165.4
03/30/2019 06:00 AM, 58023.7
03/11/2019 04:00 AM, 26983.5
03/04/2019 11:00 AM, 178915
01/27/2019 10:00 AM, 142186
06/27/2019 05:00 AM, 54626.4
05/18/2019 02:00 AM, 121027
05/11/2019 09:00 AM, 155412
01/15/2019 01:00 AM, 38096.2
04/26/2019 05:00 AM, 64910.5
04/19/2019 12:00 AM, 186329
04/07/2019 03:00 AM, 114284
03/15/2019 06:00 AM, 129444
02/23/2019 09:00 AM, 148281
02/04/2019 07:00 AM, 219144
01/19/2019 03:00 AM, 75778.7
04/10/2019 10:00 PM, 315557
03/19/2019 08:00 AM, 238239
06/24/2019 01:00 PM, 231441
05/25/2019 11:00 PM, 157445
01/22/2019 10:00 PM, 188349
02/08/2019 09:00 AM, 270659
05/13/2019 02:00 PM, 289481
01/10/2019 01:00 PM, 219972
04/21/2019 05:00 PM, 212247
04/14/2019 12:00 PM, 236482
04/02/2019 03:00 PM, 283091
03/10/2019 06:00 PM, 238557
02/25/2019 02:00 PM, 243033
06/09/2019 01:00 PM, 217723
06/02/2019 08:00 PM, 193681
01/26/2019 12:00 PM, 195258
05/17/2019 04:00 PM, 292186
01/14/2019 03:00 PM, 230103
01/07/2019 10:00 PM, 148749
04/25/2019 07:00 PM, 335224
04/06/2019 05:00 PM, 288503
03/14/2019 08:00 PM, 334246
03/30/2019 11:00 AM, 190606
02/03/2019 09:00 PM, 154636
01/18/2019 05:00 PM, 264752
06/10/2019 04:00 AM, 32287.1
06/03/2019 11:00 AM, 214592
04/26/2019 10:00 AM, 221932
04/14/2019 01:00 AM, 202348
03/22/2019 04:00 AM, 36453.1
03/15/2019 11:00 AM, 237644
03/03/2019 02:00 AM, 154395
06/14/2019 06:00 AM, 116153
02/04/2019 12:00 AM, 76738.2
02/11/2019 05:00 AM, 57674.1
05/29/2019 02:00 AM, 43920.8
05/22/2019 09:00 AM, 247923
01/26/2019 01:00 AM, 147201
05/03/2019 07:00 AM, 208946
04/18/2019 03:00 AM, 24146.1
03/26/2019 06:00 AM, 112097
03/07/2019 04:00 AM, 27722.6
06/18/2019 08:00 AM, 247176
02/15/2019 07:00 AM, 205558
04/21/2019 10:00 PM, 156420
01/04/2019 08:00 AM, 162450
05/07/2019 09:00 AM, 240411
03/10/2019 11:00 PM, 132845
02/19/2019 09:00 AM, 252303
05/24/2019 02:00 PM, 274328
04/25/2019 12:00 PM, 253151
04/13/2019 03:00 PM, 268425
04/06/2019 10:00 PM, 272150
03/21/2019 06:00 PM, 366085
03/02/2019 04:00 PM, 246624
06/13/2019 08:00 PM, 292676
01/01/2019 04:00 PM, 170869
02/10/2019 07:00 PM, 217280
05/28/2019 04:00 PM, 255705
01/18/2019 10:00 PM, 232397
01/25/2019 03:00 PM, 251801
05/09/2019 02:00 PM, 312402
05/02/2019 09:00 PM, 351221
04/17/2019 05:00 PM, 318168
03/25/2019 08:00 PM, 250346
03/06/2019 06:00 PM, 376333
02/14/2019 09:00 PM, 281991
01/29/2019 05:00 PM, 252344
06/21/2019 04:00 AM, 40275.7
06/14/2019 11:00 AM, 254295
06/02/2019 02:00 AM, 126407
05/10/2019 05:00 AM, 64015.2
05/03/2019 12:00 AM, 186421
04/25/2019 01:00 AM, 63495.9
03/26/2019 11:00 AM, 209588
06/25/2019 06:00 AM, 123149
01/13/2019 02:00 AM, 125741
06/06/2019 04:00 AM, 28653.7
05/14/2019 07:00 AM, 214673
04/29/2019 03:00 AM, 412493
04/03/2019 08:00 AM, 265169
03/18/2019 04:00 AM, 34983.5
06/29/2019 08:00 AM, 96736.5
01/17/2019 04:00 AM, 28173.3
02/26/2019 07:00 AM, 223142
05/18/2019 09:00 AM, 167032
01/20/2019 11:00 PM, 106044
06/20/2019 06:00 PM, 298824
06/01/2019 04:00 PM, 245477
04/24/2019 03:00 PM, 276559
04/17/2019 10:00 PM, 303902
02/16/2019 10:00 PM, 248135
02/23/2019 03:00 PM, 248620
01/31/2019 06:00 PM, 324916
02/04/2019 01:00 PM, 219769
06/24/2019 08:00 PM, 244747
01/12/2019 04:00 PM, 228239
01/05/2019 11:00 PM, 182522
06/05/2019 06:00 PM, 325688
05/13/2019 09:00 PM, 272141
04/28/2019 05:00 PM, 249924
04/09/2019 03:00 PM, 284581
03/17/2019 06:00 PM, 238078
02/08/2019 03:00 PM, 291112
01/16/2019 06:00 PM, 289245
02/25/2019 09:00 PM, 243031
06/09/2019 08:00 PM, 198095
06/25/2019 11:00 AM, 226836
04/12/2019 02:00 AM, 49686.5
03/20/2019 05:00 AM, 50833.9
03/13/2019 12:00 AM, 108046
03/01/2019 03:00 AM, 37802.2
01/24/2019 02:00 AM, 26192.1
06/17/2019 04:00 AM, 27220.4
05/25/2019 07:00 AM, 69384.1
03/05/2019 05:00 AM, 50909.8
02/13/2019 08:00 AM, 275336
01/28/2019 04:00 AM, 23774.8
01/09/2019 02:00 AM, 21696.8
01/02/2019 09:00 AM, 156692
05/29/2019 09:00 AM, 228425
01/31/2019 11:00 PM, 195531
05/22/2019 03:00 PM, 291247
05/03/2019 01:00 PM, 266400
04/30/2019 06:00 PM, 343186
04/11/2019 04:00 PM, 296989
04/04/2019 11:00 PM, 266323
02/27/2019 10:00 PM, 283483
02/15/2019 01:00 PM, 247492
01/16/2019 11:00 PM, 154235
01/23/2019 04:00 PM, 236479
06/16/2019 06:00 PM, 227771
